Disease,Medication
Fungal infection,"['Antifungal Creams', 'Fluconazole', 'Ketoconazole', 'Clotrimazole', 'Terbinafine', 'Itraconazole', 'Miconazole']"
Acne,"['Benzoyl peroxide', 'Salicylic acid', 'Retinoids', 'Antibiotics (topical/oral)', 'Isotretinoin', 'Hormonal therapy', 'Chemical peels']"
Psoriasis,"['Corticosteroids', 'Vitamin D analogues', 'Retinoids', 'Calcineurin inhibitors', 'Salicylic acid', 'Biologics', 'Methotrexate', 'Photo therapy']"
Impetigo,"['Topical antibiotics (Mupirocin)', 'Oral antibiotics', 'Antiseptic washes', 'Pain relievers']"
Chicken pox,"['Antihistamines (for itch)', 'Paracetamol (for fever)', 'Acyclovir (antiviral)', 'Calamine lotion', 'Oatmeal baths', 'Topical ointments']"
Allergy,"['Antihistamines', 'Cetirizine', 'Loratadine', 'Fexofenadine', 'Decongestants', 'Nasal Corticosteroids', 'Eye Drops', 'Epinephrine (for severe cases)']"
Drug Reaction,"['Antihistamines', 'Corticosteroids', 'Epinephrine (for anaphylaxis)', 'Calamine lotion', 'Oral steroids', 'Discontinue offending drug']"
AIDS,"['Antiretroviral Therapy (ART)', 'Nucleoside Reverse Transcriptase Inhibitors', 'Protease Inhibitors', 'Integrase Inhibitors', 'Entry Inhibitors', 'Antibiotics for secondary infections']"
GERD,"['Antacids', 'H2 Blockers', 'Proton Pump Inhibitors (PPIs)', 'Omeprazole', 'Ranitidine', 'Famotidine', 'Lifestyle changes', 'Alginate drugs']"
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Rifampicin', 'Naltrexone', 'Vitamin K supplements', 'Vitamin D supplements', 'Antihistamines for itch']"
Peptic ulcer disease,"['Proton Pump Inhibitors (PPIs)', 'Antibiotics (for H. pylori)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents', 'Bismuth subsalicylate']"
Gastroenteritis,"['Oral Rehydration Salts (ORS)', 'Antiemetics', 'Probiotics', 'Zinc supplements', 'Antibiotics (if bacterial)', 'Antidiarrheals (use caution)', 'Paracetamol for fever']"
Jaundice,"['Antivirals (if viral)', 'Steroids', 'Urso', 'Cholestyramine (for itch)', 'Treating underlying cause', 'IV fluids']"
Dimorphic hemmorhoids(piles),"['Stool softeners', 'Topical creams (Hydrocortisone)', 'Pain relievers', 'Vasoconstrictors', 'Fiber supplements', 'Sitz baths']"
hepatitis A,"['Supportive care', 'Rest', 'IV fluids', 'Anti-nausea medication', 'Avoid liver-stressing drugs']"
Hepatitis B,"['Antiviral medications (Entecavir, Tenofovir)', 'Interferon injections', 'Liver transplant (severe)', 'Supportive care', 'Vitamin supplements']"
Hepatitis C,"['Direct-acting antivirals (DAAs)', 'Sofosbuvir', 'Ledipasvir', 'Velpatasvir', 'Ribavirin', 'Peginterferon (older)', 'Lifestyle support']"
Hepatitis D,"['Pegylated interferon alpha', 'Antivirals for Hep B', 'Liver transplant (end stage)', 'Supportive therapy']"
Hepatitis E,"['Supportive care', 'Ribavirin (chronic cases)', 'Rest', 'Fluids', 'Nutritional support']"
Alcoholic hepatitis,"['Corticosteroids', 'Pentoxifylline', 'Alcohol cessation support', 'Nutritional supplements', 'Liver transplant (if eligible and sober)']"
Diabetes,"['Insulin therapy', 'Metformin', 'Sulfonylureas', 'Meglitinides', 'Thiazolidinediones', 'DPP-4 inhibitors', 'GLP-1 receptor agonists', 'SGLT2 inhibitors']"
Hypothyroidism,"['Levothyroxine (Synthetic T4)', 'Liothyronine', 'Dessicated thyroid extract', 'Vitamin D', 'Vitamin B12 supplements']"
Hyperthyroidism,"['Anti-thyroid medications (Methimazole)', 'Propylthiouracil', 'Beta blockers', 'Radioactive iodine', 'Surgery', 'Vitamin supplements']"
Hypoglycemia,"['Glucose tablets', 'Glucagon injection', 'IV dextrose', 'Adjust diabetes meds', 'Treating underlying cause']"
Bronchial Asthma,"['Inhaled Corticosteroids', 'Short-acting Beta Agonists (Inhalers)', 'Long-acting Beta Agonists', 'Leukotriene Modifiers', 'Theophylline', 'Combination inhalers', 'Oral corticosteroids']"
Common Cold,"['Decongestants', 'Antihistamines', 'Pain relievers (Ibuprofen)', 'Cough suppressants', 'Expectorants', 'Zinc lozenges', 'Vitamin C']"
Pneumonia,"['Antibiotics (if bacterial)', 'Antivirals (if viral)', 'Fungal medications (if fungal)', 'Antipyretics', 'Cough medicine', 'Pain relievers', 'Oxygen therapy']"
Tuberculosis,"['Isoniazid', 'Rifampicin', 'Ethambutol', 'Pyrazinamide', 'Streptomycin', 'Vitamin B6 supplements']"
Hypertension,"['Diuretics', 'ACE Inhibitors', 'Angiotensin II Receptor Blockers (ARBs)', 'Calcium Channel Blockers', 'Beta Blockers', 'Alpha Blockers', 'Vasodilators']"
Heart attack,"['Aspirin', 'Thrombolytics', 'Antiplatelet agents', 'Pain relievers (Morphine)', 'Nitroglycerin', 'Beta blockers', 'ACE inhibitors', 'Statins']"
Varicose veins,"['Sclerotherapy', 'Endovenous ablation', 'Compression stockings (not drug)', 'Anti-inflammatory drugs', 'Flavonoids', 'Blood thinners (if clotting risk)']"
Migraine,"['Pain relievers (NSAIDs)', 'Triptans', 'Ergotamines', 'Anti-nausea medications', 'Beta blockers (preventive)', 'Antidepressants (preventive)', 'Botox injections']"
Paralysis (brain hemorrhage),"['Blood pressure medications', 'Diuretics', 'Anticonvulsants', 'Pain relievers', 'Rehabilitation therapy', 'Surgery (if needed)', 'Anticoagulants (careful use)']"
(vertigo) Paroymsal Positional Vertigo,"['Canalith repositioning maneuvers (Epley)', 'Meclizine', 'Benzodiazepines', 'Antiemetics', 'Vestibular rehabilitation', 'Betahistine']"
Malaria,"['Artemisinin-based combination therapies (ACTs)', 'Chloroquine', 'Quinine', 'Primaquine', 'Doxycycline', 'Mefloquine', 'Antipyretics (for fever)']"
Dengue,"['Pain relievers (Acetaminophen/Paracetamol)', 'AVOID aspirin/ibuprofen', 'IV fluids', 'Platelet transfusion (if severe)', 'ORS']"
Typhoid,"['Antibiotics (Ciprofloxacin, Azithromycin)', 'Antipyretics', 'Corticosteroids (severe cases)', 'IV fluids', 'Replacement electrolytes']"
Cervical spondylosis,"['NSAIDs', 'Muscle relaxants', 'Corticosteroids', 'Anti-seizure medications (for nerve pain)', 'Antidepressants', 'Topical analgesics']"
Osteoarthristis,"['Acetaminophen', 'NSAIDs', 'Topical pain relievers', 'Corticosteroid injections', 'Hyaluronic acid injections', 'Duloxetine', 'Glucosamine/Chondroitin']"
Arthritis,"['DMARDs', 'Biologics', 'NSAIDs', 'Steroids', 'Analgesics', 'Jak inhibitors', 'Physical therapy']"
Urinary tract infection,"['Antibiotics (Nitrofurantoin, Bactrim)', 'Phenazopyridine (pain relief)', 'Cranberry supplements', 'Probiotics', 'D-Mannose']"
Eczema,"['Moisturizing creams', 'Calamine lotion', 'Antihistamines (Cetirizine)', 'Hydrocortisone cream (OTC)', 'Oatmeal baths', 'Emollients']"
Contact Dermatitis,"['Calamine lotion', 'Hydrocortisone cream', 'Antihistamines', 'Cool compresses', 'Moisturizers', 'Oatmeal baths']"
Rosacea,"['Gentle cleansers', 'Sunscreen SPF 30+', 'Calming moisturizers', 'Green-tinted concealer', 'Aloe vera gel', 'Antihistamines if needed']"
Shingles,"['Paracetamol for pain', 'Calamine lotion', 'Cool compresses', 'Antihistamines for itching', 'Oatmeal baths', 'Capsaicin cream (OTC)']"
Urticaria,"['Antihistamines (Cetirizine, Loratadine)', 'Calamine lotion', 'Cool compresses', 'Aloe vera gel', 'Oatmeal baths']"
COPD,"['Bronchodilator inhalers', 'Saline nasal spray', 'Cough lozenges', 'Steam inhalation', 'Humidifier', 'Vitamin C supplements']"
Sinusitis,"['Saline nasal spray', 'Steam inhalation', 'Paracetamol for pain', 'Decongestants (short-term)', 'Antihistamines if allergic', 'Warm compresses']"
Tonsillitis,"['Paracetamol for pain and fever', 'Salt water gargles', 'Throat lozenges', 'Warm honey and lemon drink', 'Ice chips for pain', 'Humidifier']"
Post-viral Cough,"['Honey and lemon drink', 'Cough lozenges', 'Steam inhalation', 'Saline nasal spray', 'Warm fluids', 'Humidifier']"
Pharyngitis,"['Paracetamol for pain', 'Salt water gargles', 'Throat lozenges', 'Honey and lemon', 'Warm fluids', 'Antiseptic sprays']"
IBS,"['Antacids', 'Peppermint oil capsules', 'Probiotics', 'Fiber supplements', 'Anti-gas tablets', 'Ginger tablets']"
Gastritis,"['Antacids (Gelusil, Tums)', 'H2 blockers (OTC)', 'Probiotics', 'Ginger tablets', 'Aloe vera juice', 'Slippery elm']"
Food Poisoning,"['Oral Rehydration Salts (ORS)', 'Paracetamol for fever', 'Probiotics (after acute phase)', 'Anti-nausea tablets', 'Electrolyte drinks']"
Peptic Ulcer,"['Antacids (Gelusil, Tums)', 'H2 blockers', 'Probiotics', 'Sucralfate', 'Bismuth subsalicylate']"
Tension Headache,"['Paracetamol', 'Ibuprofen', 'Aspirin', 'Peppermint oil (topical)', 'Cool compress', 'Relaxation techniques']"
Cervical Radiculopathy,"['Paracetamol', 'Ibuprofen', 'Heat or ice packs', 'Topical pain relievers', 'Muscle relaxant creams']"
Vertigo,"['Antihistamines (Meclizine)', 'Ginger tablets', 'Anti-nausea tablets', 'Vestibular exercises', 'Epley maneuver']"
PCOS,"['Vitamin D supplements', 'Inositol supplements', 'Omega-3 supplements', 'Multivitamins', 'Spearmint tea']"
Viral Fever,"['Paracetamol for fever', 'ORS for hydration', 'Vitamin C supplements', 'Throat lozenges', 'Steam inhalation', 'Ginger tea']"
Flu,"['Paracetamol for fever and pain', 'Decongestants', 'Cough suppressants', 'Throat lozenges', 'Vitamin C', 'Zinc lozenges', 'Steam inhalation']"
Angina,"['Aspirin (if advised by doctor)', 'Nitroglycerin (prescribed)', 'Rest during episodes', 'Deep breathing']"
Palpitations,"['Magnesium supplements', 'Electrolyte drinks', 'Herbal teas (chamomile)', 'Deep breathing exercises']"
Kidney Stones,"['Paracetamol for pain', 'Ibuprofen', 'Plenty of water', 'Lemon juice', 'Apple cider vinegar (diluted)']"
Diaper Rash,"['Zinc oxide cream', 'Petroleum jelly', 'Barrier creams', 'Antifungal cream if yeast-related', 'Oatmeal baths']"
Otitis Media,"['Paracetamol for pain and fever', 'Ibuprofen', 'Warm compress', 'Ear drops if advised', 'Decongestants']"
Hand Foot Mouth Disease,"['Paracetamol for fever and pain', 'Mouth ulcer gel', 'Cold drinks for comfort', 'Popsicles', 'Throat lozenges for older children']"
Muscle Strain,"['Paracetamol', 'Ibuprofen', 'Ice packs', 'Heat therapy (after 48 hours)', 'Topical pain relievers', 'Compression bandage']"
Sciatica,"['Paracetamol', 'Ibuprofen', 'Hot or cold packs', 'Topical pain relievers', 'Gentle stretching']"
Urinary Tract Infection,"['Cranberry supplements', 'Paracetamol for pain', 'ORS for hydration', 'Probiotics', 'D-Mannose', 'Plenty of water']"
COVID-19,"['Paracetamol for fever', 'Antivirals if prescribed', 'Cough suppressants', 'Vitamin C', 'Zinc supplements', 'Steam inhalation', 'Oxygen therapy if needed']"
Meningitis,"['Antibiotics (IV)', 'Corticosteroids', 'Anticonvulsants', 'Pain relievers', 'IV fluids', 'Oxygen therapy', 'ICU care if severe']"
Anemia,"['Iron supplements', 'Vitamin B12', 'Folic acid', 'Vitamin C for absorption', 'Blood transfusion if severe', 'Iron injections']"
Conjunctivitis,"['Antibiotic eye drops', 'Antihistamine eye drops', 'Artificial tears', 'Cool compresses', 'Antiviral drops if viral']"
Seborrheic Dermatitis,"['Ketoconazole shampoo', 'Selenium sulfide shampoo', 'Zinc pyrithione shampoo', 'Hydrocortisone cream', 'Antifungal creams', 'Coal tar shampoo']"
Ringworm,"['Clotrimazole cream', 'Miconazole cream', 'Terbinafine cream', 'Ketoconazole cream', 'Oral antifungals if severe', 'Antifungal powder']"
